,고객리뷰,예측답글,유창성,연관성
0,와플 진짜 맛있어요. 떡볶이는 생각보다 옴청 매우니까 잘 못드시는분들은 주의하셔야될거같아요. 이번이 2번째 주문인데 저번도 그렇고 커피는 좀 닝닝한거같아요,맛있게 드셔주셔서 정말 감사합니다! ᄒᄒ 저희 #@상호명# 는 항상 고객님들께 맛있는 음료와 디저트를 제공해드리기 위해 노력하고 있습니다! 앞으로도 많은 이용 부탁드릴게요 :)</s>,1,0
1,맛나게 먹었습니다 여러가치챙겨주셔 ㄱㅅ!!,안녕하세요 #@상호명# 입니다! 맛있게 드셔 주셔서 너무 감사드립니당 ᄒᄒ 앞으로도 많은 이용 부탁드릴게요!</s>,1,0
2,서비스 아이 빵 너무 감사합니다 ^^,안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥)입니다. 맛있게 드셔주시고 이렇게 응원해주시고 너무너무 감사드려요!! 맛양배달 모두 별5점과 이쁜사진리뷰도 넘넘 감사드립니당~~</s>,0,0
3,역시 배라입나다 케이크 넘 맛나게먹었어요뮤최고입니당 아스크림짱 최고에염,안녕하세요 #@상호명# 입니다. 맛있게 드셔주셔서 정말 감사합니다!! 항상 맛있는 디저트로 찾아뵙겠습니다^^</s>,1,0
4,신속한배달과 맛 또한 만족합니다,안녕하세요 고객님 #@상호명# 직영점으로 운영중인 한 남 점입니다. 맛있게 드셔주셔서 감사드립니다. 앞으로도 많은 이용 부탁드리겠습니다!</s>,0,0
5,너무 맛나서 맨날 먹고 싶어요ㅠ,안녕하세요 고객님 #@상호명# 입니다! 맛있게 드셔주셔서 너무너무 감사드려요!! 항상 맛있는 음료와 디저트로 찾아뵐 수 있도록 노력하겠습니다 :)</s>,1,0
6,빠바 보다 맛있는 빵이 신선하게 왔어요,안녕하세요! #@상호명# 카페 #@위치# 입니다(\* ́<unk>`)<unk> 앞으로도 많은 이용 부탁드릴게용~!</s>,0,0
7,변함없이 맛있는 밤식빵~~ 이번에도 변함없이 맛있게 잘먹었습니다 또 올께요^^,안녕하세요 #@상호명# 입니다 :) 변함없는 맛으로 찾아뵐 수 있도록 최선을 다하겠습니다. 앞으로도 많은 이용 부탁드립니다. 감사합니다.</s>,1,1
8,배달도 빠르고 맛도 굳이예요!! 서비스로 사탕하고 초콜릿 챙겨주셨네요 감사합니다,고객님 안녕하세요 :) 저희 와플과 음료 맛있게 드셔주셔서 넘넘 감사드립니당 😍 항상 맛있는 와플로 찾아뵙겠습니다 😉 즐거운 금요일 보내세용 <unk><unk></s>,0,0
9,리뷰가 다 제 글인듯 ㅠㅠㅋㅋㅋ 그래도 맛있으니 당연 평을 ㅋㅋㅋ 이번에도 잘 먹어써요,안녕하세요 고객님 ^0^ 전 항목 5점! 그리고 사진리뷰 남겨주셔서 감사합니다 앞으로도 한결같은 맛과 서비스로 보답하는 #@상호명# #@위치# 이 되겠습니다^^</s>,1,0
10,빽다방 종종 시켜 먹어용 ㅋ 가성비 귿귿 :),안녕하세요^^ #@상호명# 의 사장님(사장님 소리가 너무 듣고 싶어요~♥) 입니다! 맛양배달 모두 별5점도 너무 감사드리고 큰힘이 됐습니다~ 감사해요!!</s>,0,0
11,맛있어요~~~~ 너무꽁꽁얼었을때보단 꼬끄가 좀 녹고나서 먹으면 더 맛잇어료 😊,#@고객이름# 님 안녕하세요 #@상호명# 입니다~^^ 맛있게 드셔주셔서 정말 감사드리고 소중한 별점과 포토리뷰까지 너무너무 감사드려요!! 항상 맛있는 디저트로 찾아뵙겠습니다 :)</s>,0,0
