,고객리뷰,예측답글,유창성,연관성
0,와플 진짜 맛있어요. 떡볶이는 생각보다 옴청 매우니까 잘 못드시는분들은 주의하셔야될거같아요. 이번이 2번째 주문인데 저번도 그렇고 커피는 좀 닝닝한거같아요,안녕하세요! #@상호명# 입니다 주문해주셔서 너무너무 감사합니다!! 찾아주셔서 정말 감사합니다 :) 앞으로도 맛있게 드실 수 있도록 노력하겠습니다!! 감사합니다 :),1,1
1,맛나게 먹었습니다 여러가치챙겨주셔 ㄱㅅ!!,#@고객이름# 님 주문해 주셔서 감사합니다. 주문해 주신 것 만도 감사한데 이렇게         까지 해주시면 더더욱 . 😑😬🙄😘😯😐😦😑,0,1
2,서비스 아이 빵 너무 감사합니다 ^^,#@고객이름# ~리뷰감사합니다~ 만족해주신것 같아서 기쁘네요~ 건강하고 맛있는빵 드시고 행복하세요~~^^,1,1
3,역시 배라입나다 케이크 넘 맛나게먹었어요뮤최고입니당 아스크림짱 최고에염,고객님 주문해주셔서 감사합니다!! 배라 케익은 고객님들께 최선을 다하고 있습니다! 맛있게 드셨다니 저희도 기쁘네요~! 다음에도 또 뵙겠습니다! 항상 좋은 일들만 가득하시길 바라겠습니다!!,1,1
4,신속한배달과 맛 또한 만족합니다,#@상호명# 직영점으로 운영중인 #@상호명# 입니다~^^ 빠른배달과 맛있는빵으로 보답하겠습니다~!!! 주문해주셔서 감사드리고 앞으로도 #@상호명# 많은 이용부탁드립니다~^^,1,1
5,너무 맛나서 맨날 먹고 싶어요ㅠ,#@고객이름# #@상호명# 입니다^^ 저희 #@상호명# 을 이용해주셔서 정말 감사드립니다!!! 좋은 하루 보내셨으면 좋겠습니다^^ 항상 변하지않고 맛있는 음식 제공하도록 노력하는 #@상호명# 이 되겠습니다! 맛있게 드셔주셔서 정말 감사드리#@위치# 다음에 또 찾아주세요^^ 감사합니다!!,1,1
6,빠바 보다 맛있는 빵이 신선하게 왔어요,#@고객이름# ~~~!! #@상호명# 을 이용해주셔서 대단히 감사드립니다^^ 이용해주셔서 감사드립니다^^ 좋은 하루 되시#@위치# #@상호명# 또 이용해주세요~!!,1,1
7,변함없이 맛있는 밤식빵~~ 이번에도 변함없이 맛있게 잘먹었습니다 또 올께요^^,#@고객이름# 님! 안녕하세요! 항상 믿고 주문 주셔서 감사합니다 :) 오! 고객님께 맛있는 제품을 드리기 위해 노력하는 #@상호명# 이 되도록 노력하겠습니다! 즐거운 하루 보내세요~~,1,1
8,배달도 빠르고 맛도 굳이예요!! 서비스로 사탕하고 초콜릿 챙겨주셨네요 감사합니다,감사합니다! #@고객이름# 의 소중한 리뷰에 힘입어 앞으로도 열심히 하겠습니다! 날이 #@고객이름# 이 더욱 행복하세요~!,1,1
9,리뷰가 다 제 글인듯 ㅠㅠㅋㅋㅋ 그래도 맛있으니 당연 평을 ㅋㅋㅋ 이번에도 잘 먹어써요,#@상호명# 를 이용해주셔서 감사합니다♀♀,1,1
10,빽다방 종종 시켜 먹어용 ㅋ 가성비 귿귿 :),#@고객이름# 고객님 정말 감사드립니다 ^^ 항상 애용해주시고 주문해주시는 고객님께 정말 기분 좋은 품질의 제품을 제공하기 위해 최선을 다하고 있습니다! 다음번에도 만족하실 수 있도록 항상 노력하겠습니다~!,1,1
11,맛있어요~~~~ 너무꽁꽁얼었을때보단 꼬끄가 좀 녹고나서 먹으면 더 맛잇어료 😊,#@고객이름#  소중한 리뷰 감사합니다😊😊 맛있게 드셨다니 정말 다행입니다!!! #@상호명# 은 항상 고객님께 맛있는 빵을 드실 수 있도록 노력하고있습니다!! 앞으로도 자주 찾아주세요~!!! 그럼 오늘도 즐거운 하루 되세요!! :),1,1
12,아이스 카푸치노 넘모 맛있고용 바닐라라떼도 다른데랑 다른 맛이에요 사피엔스만의 바라맛이 있음둥 잘 마셨습니다 🥰🥰,#@고객이름# ^-^ 커피 & 와플에 대한 애정과 애정을 듬뿍 담아 보내드리려고 노력합니다. 커피와 와플이 생각날 때면 저희 #@상호명# 찾아주세요 ♥,1,0
